[[72.424, 86.978, 16.733],
 [72.437, 86.993, 16.732],
 [72.451, 87.007, 16.73],
 [72.464, 87.021, 16.729],
 [72.476, 87.034, 16.727],
 [72.488, 87.047, 16.726],
 [72.499, 87.06, 16.724],
 [72.511, 87.072, 16.723],
 [72.522, 87.084, 16.722],
 [72.532, 87.095, 16.721],
 [72.542, 87.106, 16.72],
 [72.552, 87.117, 16.718],
 [72.562, 87.127, 16.717],
 [72.571, 87.137, 16.716],
 [72.58, 87.147, 16.715],
 [72.589, 87.156, 16.714],
 [72.597, 87.165, 16.713],
 [72.605, 87.174, 16.712],
 [72.613, 87.183, 16.711],
 [72.621, 87.191, 16.711],
 [72.628, 87.199, 16.71]]
